100001,10000000,segment,#ref-unspsc.100001#,,7.0901
100002,10100000,family,#ref-unspsc.100002#,,7.0901
100003,10101500,class,#ref-unspsc.100003#,,7.0901
100004,10101501,commodity,#ref-unspsc.100004#,,7.0901
100005,10101502,commodity,#ref-unspsc.100005#,,7.0901
100006,10101504,commodity,#ref-unspsc.100006#,,7.0901
100007,10101505,commodity,#ref-unspsc.100007#,,7.0901
100008,10101506,commodity,#ref-unspsc.100008#,,7.0901
100009,10101507,commodity,#ref-unspsc.100009#,,7.0901
100010,10101508,commodity,#ref-unspsc.100010#,,7.0901
100011,10101509,commodity,#ref-unspsc.100011#,,7.0901
100012,10101510,commodity,#ref-unspsc.100012#,,7.0901
100013,10101511,commodity,#ref-unspsc.100013#,,7.0901
100014,10101512,commodity,#ref-unspsc.100014#,,7.0901
100015,10101513,commodity,#ref-unspsc.100015#,,7.0901
100016,10101514,commodity,#ref-unspsc.100016#,,7.0901
100017,10101515,commodity,#ref-unspsc.100017#,,7.0901
100018,10101516,commodity,#ref-unspsc.100018#,,7.0901
111393,10101517,commodity,#ref-unspsc.111393#,,7.0901
100019,10101600,class,#ref-unspsc.100019#,,7.0901
100020,10101601,commodity,#ref-unspsc.100020#,,7.0901
100021,10101602,commodity,#ref-unspsc.100021#,,7.0901
100022,10101603,commodity,#ref-unspsc.100022#,,7.0901
100023,10101604,commodity,#ref-unspsc.100023#,,7.0901
100024,10101605,commodity,#ref-unspsc.100024#,,7.0901
100025,10101700,class,#ref-unspsc.100025#,,7.0901
100026,10101701,commodity,#ref-unspsc.100026#,,7.0901
100027,10101702,commodity,#ref-unspsc.100027#,,7.0901
100028,10101703,commodity,#ref-unspsc.100028#,,7.0901
132985,10101704,commodity,#ref-unspsc.132985#,,7.0901
132986,10101705,commodity,#ref-unspsc.132986#,,7.0901
100029,10101800,class,#ref-unspsc.100029#,,7.0901
100030,10101801,commodity,#ref-unspsc.100030#,,7.0901
100031,10101802,commodity,#ref-unspsc.100031#,,7.0901
100032,10101803,commodity,#ref-unspsc.100032#,,7.0901
100033,10101804,commodity,#ref-unspsc.100033#,,7.0901
100034,10101805,commodity,#ref-unspsc.100034#,,7.0901
100035,10101806,commodity,#ref-unspsc.100035#,,7.0901
100036,10101807,commodity,#ref-unspsc.100036#,,7.0901
100037,10101808,commodity,#ref-unspsc.100037#,,7.0901
100038,10101900,class,#ref-unspsc.100038#,,7.0901
100039,10101901,commodity,#ref-unspsc.100039#,,7.0901
100040,10101902,commodity,#ref-unspsc.100040#,,7.0901
100041,10101903,commodity,#ref-unspsc.100041#,,7.0901
100042,10101904,commodity,#ref-unspsc.100042#,,7.0901
111394,10102000,class,#ref-unspsc.111394#,,7.0901
111395,10102001,commodity,#ref-unspsc.111395#,,7.0901
132993,10102002,commodity,#ref-unspsc.132993#,,7.0901
111396,10110000,family,#ref-unspsc.111396#,,7.0901
111399,10111300,class,#ref-unspsc.111399#,,7.0901
111400,10111301,commodity,#ref-unspsc.111400#,,7.0901
111401,10111302,commodity,#ref-unspsc.111401#,,7.0901
111402,10111303,commodity,#ref-unspsc.111402#,,7.0901
111397,10111304,commodity,#ref-unspsc.111397#,,7.0901
111398,10111305,commodity,#ref-unspsc.111398#,,7.0901
142086,10111306,commodity,#ref-unspsc.142086#,,7.0901
142087,10111307,commodity,#ref-unspsc.142087#,,7.0901
100043,10120000,family,#ref-unspsc.100043#,,7.0901
100044,10121500,class,#ref-unspsc.100044#,,7.0901
100045,10121501,commodity,#ref-unspsc.100045#,,7.0901
100046,10121502,commodity,#ref-unspsc.100046#,,7.0901
100047,10121503,commodity,#ref-unspsc.100047#,,7.0901
100048,10121504,commodity,#ref-unspsc.100048#,,7.0901
100049,10121505,commodity,#ref-unspsc.100049#,,7.0901
111104,10121506,commodity,#ref-unspsc.111104#,,7.0901
100050,10121600,class,#ref-unspsc.100050#,,7.0901
100051,10121601,commodity,#ref-unspsc.100051#,,7.0901
100052,10121602,commodity,#ref-unspsc.100052#,,7.0901
111105,10121603,commodity,#ref-unspsc.111105#,,7.0901
111106,10121604,commodity,#ref-unspsc.111106#,,7.0901
100053,10121700,class,#ref-unspsc.100053#,,7.0901
100054,10121701,commodity,#ref-unspsc.100054#,,7.0901
100055,10121702,commodity,#ref-unspsc.100055#,,7.0901
100056,10121703,commodity,#ref-unspsc.100056#,,7.0901
100057,10121800,class,#ref-unspsc.100057#,,7.0901
100058,10121801,commodity,#ref-unspsc.100058#,,7.0901
100059,10121802,commodity,#ref-unspsc.100059#,,7.0901
111107,10121803,commodity,#ref-unspsc.111107#,,7.0901
111108,10121804,commodity,#ref-unspsc.111108#,,7.0901
111109,10121805,commodity,#ref-unspsc.111109#,,7.0901
111110,10121806,commodity,#ref-unspsc.111110#,,7.0901
100060,10121900,class,#ref-unspsc.100060#,,7.0901
100061,10121901,commodity,#ref-unspsc.100061#,,7.0901
100062,10122000,class,#ref-unspsc.100062#,,7.0901
100063,10122001,commodity,#ref-unspsc.100063#,,7.0901
100064,10122002,commodity,#ref-unspsc.100064#,,7.0901
100065,10122003,commodity,#ref-unspsc.100065#,,7.0901
142088,10122100,class,#ref-unspsc.142088#,,7.0901
142089,10122101,commodity,#ref-unspsc.142089#,,7.0901
142090,10122102,commodity,#ref-unspsc.142090#,,7.0901
142091,10122103,commodity,#ref-unspsc.142091#,,7.0901
117163,10130000,family,#ref-unspsc.117163#,,7.0901
100067,10131500,class,#ref-unspsc.100067#,,7.0901
107457,10131506,commodity,#ref-unspsc.107457#,,7.0901
107458,10131507,commodity,#ref-unspsc.107458#,,7.0901
114267,10131508,commodity,#ref-unspsc.114267#,,7.0901
